成本,价格
1,39451
1.1,40343
1.2,46313
1.3,47605
1.4,37839
1.5,38131
1.9,43633
2,43925
2.1,39999
2.2,40291
2.8,56750
2.9,60258
3,60550
3.1,54553
3.2,54845
3.6,57297
3.7,57589
3.8,63326
3.9,55902
4,57357
4.1,57481
4.3,61670
4.4,61312
4.5,61511
4.8,68139
4.9,68338
5,66230
5.1,66429
5.2,83289
5.3,83594
5.8,81564
5.9,94141
6,94605
6.2,92403
6.7,101967
6.8,92244
6.9,114477
7,98474
7.1,117634
7.5,113300
7.8,101503
7.9,101808
7.9,123056
8.1,114013
8.2,114318
8.3,83753
8.6,109632
8.7,109937
8.9,105783
9,94605
9.4,117170
9.5,112836
9.6,113141
9.8,92403
10.1,98938
10.2,122592
10.3,122897
10.4,122073
10.5,122378
10.9,101967
11.2,114477
11.7,110096
12,106247
12.5,117634
12.6,113300
13.3,123056
13.5,122537
