user_id,auction_id,cat1,cat2,buy_mount,day,year,quarter,month,birthday,gender,age
513441334,19909384116,50008168,50010557,1,2012-12-12,2012,4,12,2011-01-05,1,1.94
377550424,15771663914,28,50015841,1,2012-11-23,2012,4,11,2011-06-20,1,1.43
47342027,14066344263,50008168,50013636,1,2012-09-11,2012,3,9,2010-10-08,1,1.93
119784861,20796936076,50008168,50140021,1,2012-11-29,2012,4,11,2012-03-27,0,0.68
159129426,15198386301,50008168,50013711,2,2012-08-08,2012,3,8,2010-08-25,0,1.96
275261625,23062392785,50008168,50010558,1,2013-06-10,2013,2,6,2010-05-25,0,3.05
20995405,36818435772,50008168,50013636,1,2014-07-31,2014,3,7,2011-11-14,0,2.71
504804896,36740523560,122650008,50012361,1,2014-11-18,2014,4,11,2010-02-20,0,4.75
669302326,8945822711,38,211122,6,2013-05-26,2013,2,5,2010-04-06,0,3.14
1027969540,37554024452,50008168,50012442,1,2014-03-26,2014,1,3,2013-02-28,0,1.07
419554296,37829194505,28,50024153,1,2014-12-31,2014,4,12,2012-07-09,1,2.48
717297456,18852684292,50014815,50008727,1,2013-10-18,2013,4,10,2013-06-12,1,0.35
874621830,26692404101,122650008,50012359,1,2013-11-25,2013,4,11,2010-12-20,1,2.93
711528325,15799901720,50008168,50012451,1,2014-02-28,2014,1,2,2010-11-14,1,3.29
56736746,13725195879,28,50008817,10,2013-01-05,2013,1,1,2012-11-05,1,0.17
91177545,38600977799,50008168,121466023,1,2014-10-29,2014,4,10,2010-02-03,0,4.74
136997100,35447551022,50008168,50013636,1,2013-11-11,2013,4,11,2013-01-13,1,0.83
707774847,35505954971,50008168,121472022,1,2014-12-30,2014,4,12,2011-03-31,0,3.75
161512438,36797644528,50014815,50012564,1,2014-04-09,2014,2,4,2013-03-04,0,1.1
2104818212,40553447811,28,121540027,1,2014-11-11,2014,4,11,2014-03-27,0,0.63
87659835,4600695918,28,50023732,1,2013-04-24,2013,2,4,2011-09-30,1,1.57
188799366,23990428301,50008168,50012451,1,2014-03-19,2014,1,3,2011-11-30,1,2.3
286307391,12277146635,50014815,50004457,1,2012-11-25,2012,4,11,2011-10-09,0,1.13
283250293,20261713153,50008168,50006602,1,2013-10-07,2013,4,10,2013-06-13,1,0.32
14905422,40739265133,50014815,50234023,1,2015-02-05,2015,1,2,2011-04-29,1,3.78
410823343,10682626256,50014815,50009541,1,2012-11-07,2012,4,11,2011-03-26,1,1.62
160688669,20803560636,50008168,50007012,1,2012-12-29,2012,4,12,2011-09-15,1,1.29
325249615,18350150733,50022520,50016706,1,2013-09-27,2013,3,9,2011-01-03,0,2.73
412025994,37347696228,28,50023670,1,2014-06-21,2014,2,6,2013-04-02,1,1.22
116466705,16949927732,50008168,50010549,1,2013-11-11,2013,4,11,2013-01-01,0,0.86
116466705,37893437620,50008168,50010558,1,2014-03-29,2014,1,3,2013-01-01,0,1.24
